Area_Name,2013 Rural-urban Continuum Code,2013 Urban Influence Code,2023 Rural-urban Continuum Code,2024 Urban Influence Code,"Bachelor's degree or higher, 1990","Bachelor's degree or higher, 2000","Bachelor's degree or higher, 2008-12","Bachelor's degree or higher, 2019-23","Four years of college or higher, 1970","Four years of college or higher, 1980","High school diploma only, 1970","High school diploma only, 1980","High school graduate (or equivalency), 1990","High school graduate (or equivalency), 2000","High school graduate (or equivalency), 2008-12","High school graduate (or equivalency), 2019-23","Less than a high school diploma, 1970","Less than a high school diploma, 1980","Less than high school graduate, 1990","Less than high school graduate, 2000","Less than high school graduate, 2008-12","Less than high school graduate, 2019-23","Percent of adults completing four years of college or higher, 1970","Percent of adults completing four years of college or higher, 1980","Percent of adults completing some college (1-3 years), 1970","Percent of adults completing some college (1-3 years), 1980","Percent of adults completing some college or associate degree, 1990","Percent of adults completing some college or associate degree, 2000","Percent of adults completing some college or associate degree, 2008-12","Percent of adults completing some college or associate degree, 2019-23","Percent of adults who are high school graduates (or equivalent), 1990","Percent of adults who are high school graduates (or equivalent), 2000","Percent of adults who are high school graduates (or equivalent), 2008-12","Percent of adults who are high school graduates (or equivalent), 2019-23","Percent of adults who are not high school graduates, 1990","Percent of adults who are not high school graduates, 2000","Percent of adults who are not high school graduates, 2008-12","Percent of adults who are not high school graduates, 2019-23","Percent of adults with a bachelor's degree or higher, 1990","Percent of adults with a bachelor's degree or higher, 2000","Percent of adults with a bachelor's degree or higher, 2008-12","Percent of adults with a bachelor's degree or higher, 2019-23","Percent of adults with a high school diploma only, 1970","Percent of adults with a high school diploma only, 1980","Percent of adults with less than a high school diploma, 1970","Percent of adults with less than a high school diploma, 1980","Some college (1-3 years), 1970","Some college (1-3 years), 1980","Some college or associate degree, 1990","Some college or associate degree, 2000","Some college or associate degree, 2008-12","Some college or associate degree, 2019-23"
Carson County,2.0,2.0,2.0,4.0,581.0,669.0,953.0,1033.0,382.0,541.0,1117.0,1342.0,1498.0,1334.0,1232.0,1281.0,1794.0,1496.0,993.0,751.0,578.0,257.0,10.3,13.4,11.0,16.1,26.4,36.0,35.06462985,35.61232156,35.9,31.0,28.95417156,32.081142,23.8,17.4,13.5840188,6.436263461,13.9,15.5,22.39717979,25.87027298,30.2,33.3,48.5,37.2,407.0,647.0,1104.0,1551.0,1492.0,1422.0
Carter County,6.0,6.0,2.0,4.0,1139.0,1550.0,1716.0,2820.0,463.0,737.0,1629.0,3618.0,4757.0,6484.0,7539.0,7194.0,8024.0,8530.0,7328.0,6198.0,4679.0,3146.0,4.4,5.4,4.1,6.3,12.0,18.2,24.83547308,27.98905609,31.6,37.3,40.66781746,39.36525308,48.7,35.6,25.24004747,17.21477428,7.6,8.9,9.256661992,15.43091655,15.4,26.3,76.1,62.0,430.0,868.0,1811.0,3162.0,4604.0,5115.0
Carteret County,4.0,5.0,4.0,5.0,5796.0,8623.0,11672.0,17006.0,1058.0,3009.0,4342.0,7381.0,11068.0,12884.0,14157.0,12417.0,10261.0,10688.0,8768.0,7795.0,5627.0,3837.0,6.2,12.1,8.9,15.3,28.4,32.6,35.74244684,36.75483466,30.9,29.6,28.91957592,23.61140162,24.5,17.9,11.494699,7.296202628,16.2,19.8,23.84327825,32.33756109,25.3,29.6,59.7,42.9,1521.0,3820.0,10164.0,14155.0,17497.0,19329.0
Carver County,1.0,1.0,1.0,1.0,6265.0,14820.0,25263.0,36434.0,1209.0,3123.0,4899.0,8431.0,10319.0,11512.0,12823.0,12752.0,7052.0,5404.0,4496.0,3732.0,2750.0,2662.0,8.4,15.6,8.8,15.4,27.9,30.4,29.72517166,28.16647732,35.3,26.6,22.06714967,17.66743329,15.4,8.6,4.732485501,3.688104409,21.4,34.3,43.47519317,50.47798498,33.9,42.1,48.9,27.0,1275.0,3079.0,8167.0,13154.0,17273.0,20330.0
Cascade County,3.0,2.0,3.0,4.0,9047.0,11239.0,12516.0,16699.0,5272.0,7922.0,15384.0,18393.0,17841.0,17448.0,16272.0,18320.0,14231.0,11284.0,8410.0,6748.0,5260.0,3546.0,12.9,17.4,14.9,17.5,28.3,32.3,37.29996501,33.63448632,36.3,33.3,29.96519529,31.52641542,17.1,12.9,9.686389334,6.102219928,18.4,21.5,23.04845036,28.73687833,37.5,40.3,34.7,24.8,6123.0,7989.0,13900.0,16898.0,20255.0,19545.0
Casey County,9.0,10.0,9.0,9.0,591.0,769.0,997.0,1303.0,354.0,500.0,813.0,1912.0,2505.0,3833.0,3825.0,5049.0,5879.0,5786.0,5204.0,4435.0,3721.0,2443.0,4.9,5.8,3.4,5.4,9.3,13.3,21.73873214,20.32071027,27.4,36.8,35.04030781,45.74198224,56.9,42.6,34.08757787,22.13263272,6.5,7.4,9.133382191,11.80467476,11.1,22.1,80.6,66.8,250.0,467.0,852.0,1386.0,2373.0,2243.0
Cass County,6.0,6.0,6.0,6.0,935.0,1145.0,1108.0,1736.0,343.0,752.0,3212.0,4024.0,3903.0,4012.0,3998.0,3685.0,4370.0,3540.0,2447.0,1808.0,1701.0,1152.0,4.1,8.1,5.4,9.9,17.5,23.1,26.46645782,24.36133487,44.2,44.3,43.1889381,42.40506329,27.7,20.0,18.37528357,13.2566168,10.6,12.6,11.96932051,19.97698504,38.3,43.6,52.2,38.3,451.0,918.0,1540.0,2091.0,2450.0,2117.0
Cassia County,7.0,8.0,6.0,5.0,1503.0,1696.0,2146.0,3130.0,547.0,1122.0,2854.0,3486.0,3206.0,3638.0,3332.0,4060.0,3758.0,2902.0,2943.0,2814.0,2960.0,2190.0,6.5,11.4,15.3,23.7,28.9,33.2,36.6801741,37.37063497,29.8,29.8,25.00375206,27.10823262,27.3,23.1,22.21221672,14.62242105,14.0,13.9,16.10385712,20.89871136,33.8,35.4,44.5,29.5,1294.0,2331.0,3113.0,4058.0,4888.0,5597.0
Castro County,6.0,6.0,9.0,9.0,526.0,714.0,655.0,938.0,389.0,691.0,1263.0,1355.0,1437.0,1445.0,1536.0,1390.0,2566.0,2503.0,2090.0,1685.0,1579.0,1058.0,8.3,13.2,10.0,13.4,18.9,21.1,21.93000621,24.19968659,28.7,29.7,31.80782771,31.11708081,41.8,34.6,32.69828122,23.68479964,10.5,14.7,13.56388486,20.99843295,27.0,25.8,54.8,47.7,467.0,701.0,946.0,1027.0,1059.0,1081.0
Caswell County,8.0,7.0,8.0,6.0,917.0,1343.0,1632.0,2667.0,356.0,617.0,1629.0,3239.0,4394.0,5953.0,6070.0,5944.0,7139.0,7080.0,6275.0,4998.0,4272.0,2717.0,3.7,5.1,4.2,8.9,16.9,24.2,29.66400376,31.83705397,31.5,36.7,35.65554511,35.76629159,45.0,30.8,25.09398496,16.34875745,6.6,8.3,9.586466165,16.04789699,17.1,27.0,75.0,59.0,399.0,1066.0,2354.0,3918.0,5050.0,5291.0
